,platform,priority,time,KMeans
0,495774036596,0,280837394966782681825915295437564806833460883509,4
1,495774036596,0,280837394966782681825915295437564806833460883509,4
2,495774036596,0,280837394966782681825915295437564806833460883510,4
3,495774036596,0,280837394966782681825915295437564806833460883510,4
4,495774036596,0,280837394966782681825915295437564806833460883511,4
5,495774036596,0,280837394966782681825915295437564806833460883511,4
6,495774036596,0,280837394966782681825915295437564806833460883512,4
7,495774036596,0,280837394966782681825915295437564806833460883512,4
8,495774036596,0,280837394966782681825915295437564806833460883513,4
9,495774036596,0,280837394966782681825915295437564806833460883513,4
10,495774036596,0,280837394966782681825915295437564806833460883760,4
11,495774036596,0,280837394966782681825915295437564806833460883760,4
12,495774036596,0,280837394966782681825915295437564806833460883761,4
13,495774036596,0,280837394966782681825915295437564806833460883761,4
14,495774036596,0,280837394966782681825915295437564806833460883762,4
15,495774036596,0,280837394966782681825915295437564806833460883762,4
16,495774036596,0,280837394966782681825915295437564806833460883763,4
17,495774036596,0,280837394966782681825915295437564806833460883763,4
18,495774036596,0,280837394966782681825915295437564806833460883764,4
19,495774036596,0,280837394966782681825915295437564806833460883764,4
20,495774036596,0,280837394966782681825915295437564806833460883765,4
21,495774036596,0,280837394966782681825915295437564806833460883765,4
22,495774036596,0,280837394966782681825915295437564806833460883766,4
23,495774036596,0,280837394966782681825915295437564806833460883766,4
24,495774036596,0,280837394966782681825915295437564806833460883767,4
25,495774036596,0,280837394966782681825915295437564806833460883767,4
26,495774036596,0,280837394966782681825915295437564806833460883768,4
27,495774036596,0,280837394966782681825915295437564806833460883768,4
28,495774036596,0,280837394966782681825915295437564806833460883769,4
29,495774036596,0,280837394966782681825915295437564806833460883769,4
30,495774036596,0,280837394966782681825915295437564806833460884016,4
31,495774036596,0,280837394966782681825915295437564806833460884016,4
32,495774036596,0,280837394966782681825915295437564806833460884017,4
33,495774036596,0,280837394966782681825915295437564806833460884017,4
34,495774036596,0,280837394966782681825915295437564806833460884018,4
35,495774036596,0,280837394966782681825915295437564806833460884018,4
36,495774036596,0,280837394966782681825915295437564806833460884019,4
37,495774036596,0,280837394966782681825915295437564806833460884019,4
38,495774036596,0,280837394966782681825915295437564806833460884020,4
